pony	horse	synonyms
knife	handle	meronyms
knife	blade	meronyms
seafood	fish	hyponyms
chain	link	meronyms
sleep	awake	antonyms
limited	unlimited	antonyms
book	cover	meronyms
prefix	suffix	antonyms
ice	water	meronyms
aquarium	fish	meronyms
chain	metal	meronyms
alligator	teeth	meronyms
similarity	difference	antonyms
aquarium	water	meronyms
horse	tail	meronyms
sleep	deep	hyponyms
eagle	beak	meronyms
volcano	lava	meronyms
water	water	meronyms
purse	handle	meronyms
month	day	meronyms
similarity	same	hyponyms
pool	water	meronyms
electricity	power	synonyms
similarity	different	antonyms
plaster	paris	hyponyms
finger	nail	meronyms
school	classroom	meronyms
party	food	meronyms
mouth	teeth	meronyms
asian	chinese	hyponyms
asian	japanese	hyponyms
computer	mouse	meronyms
computer	keyboard	meronyms
alligator	mouth	meronyms
iphone	screen	meronyms
mouth	tongue	meronyms
eye	pupil	meronyms
car	engine	meronyms
horse	mane	meronyms
purse	pocket	meronyms
storm	thunder	meronyms
rod	reel	meronyms
skin	hair	meronyms
water	pipe	meronyms
eye	iris	meronyms
spacecraft	engine	meronyms
pizza	cheese	meronyms
knife	tip	meronyms
pumpkin	stem	meronyms
immature	mature	antonyms
hunter	gun	meronyms
wake	sleep	antonyms
foul	ball	hyponyms
party	people	meronyms
peanut	shell	meronyms
spacecraft	rocket	meronyms
monkey	tail	meronyms
woody	forest	synonyms
yard	grass	meronyms
desirable	ugly	antonyms
ice	cold	meronyms
bathroom	sink	meronyms
solar	sun	meronyms
rod	line	meronyms
video	end	meronyms
bathroom	shower	meronyms
similarity	opposite	antonyms
lord	god	synonyms
video	beginning	meronyms
desirable	unwanted	antonyms
town	people	meronyms
party	music	meronyms
bathroom	toilet	meronyms
female	hair	meronyms
needle	point	meronyms
horizontal	vertical	antonyms
turtle	shell	meronyms
restaurant	kitchen	meronyms
monkey	nose	meronyms
month	weekend	meronyms
refrigerator	door	meronyms
climate	cold	hyponyms
foul	good	antonyms
book	page	meronyms
shoe	tongue	meronyms
pizza	sauce	meronyms
aquarium	glass	meronyms
needle	eye	meronyms
book	binding	meronyms
possess	have	synonyms
seafood	salmon	hyponyms
library	librarian	meronyms
pester	bother	synonyms
stroll	walk	synonyms
month	second	meronyms
face	nose	meronyms
refrigerator	freezer	meronyms
horse	nose	meronyms
book	spine	meronyms
apple	skin	meronyms
robot	head	meronyms
foul	fair	antonyms
court	judge	meronyms
violin	bow	meronyms
chicken	breast	meronyms
relative	mother	hyponyms
month	monday	meronyms
train	engine	meronyms
yellow	sun	synonyms
mansion	house	hyponyms
skin	epidermis	meronyms
pipe	bowl	meronyms
rod	end	meronyms
month	minute	meronyms
plaster	cement	hyponyms
computer	monitor	meronyms
spacecraft	fuel	meronyms
shoe	heel	meronyms
video	sound	meronyms
chain	lock	meronyms
peanut	nut	meronyms
finger	knuckle	meronyms
game	board	meronyms
book	index	meronyms
restaurant	food	meronyms
eye	cornea	meronyms
computer	cpu	meronyms
face	mouth	meronyms
fat	skinny	antonyms
downstream	upstream	antonyms
knife	point	meronyms
video	audio	meronyms
relative	cousin	hyponyms
car	wheel	meronyms
eagle	tail	meronyms
solar	earth	meronyms
airplane	cockpit	meronyms
protest	march	hyponyms
purse	leather	meronyms
city	downtown	meronyms
alarm	calm	antonyms
inning	top	meronyms
prefix	ending	antonyms
storm	hail	meronyms
climate	tropical	hyponyms
foul	nice	antonyms
protest	peaceful	hyponyms
flag	pole	meronyms
relative	uncle	hyponyms
dissolution	divorce	hyponyms
painting	frame	meronyms
apple	stem	meronyms
male	hair	meronyms
microwave	door	meronyms
grain	rice	hyponyms
relative	sister	hyponyms
obstruction	blockage	hyponyms
turtle	head	meronyms
tree	bark	meronyms
alligator	skin	meronyms
male	head	meronyms
school	teacher	meronyms
desk	wood	meronyms
obstruction	barrier	hyponyms
shoe	leather	meronyms
relative	brother	hyponyms
inning	bottom	meronyms
foul	chicken	hyponyms
shoe	lace	meronyms
meal	meat	meronyms
